32.187C	     2018-07-31 22:14:12.784923
32.187C	     2018-07-31 22:14:23.664935
32.187C	     2018-07-31 22:14:34.544893
32.187C	     2018-07-31 22:14:45.424920
32.187C	     2018-07-31 22:14:56.305236
32.187C	     2018-07-31 22:15:07.184897
32.187C	     2018-07-31 22:15:18.064884
32.187C	     2018-07-31 22:15:28.944909
32.187C	     2018-07-31 22:15:39.824967
32.187C	     2018-07-31 22:15:50.704950
32.187C	     2018-07-31 22:16:01.584926
32.187C	     2018-07-31 22:16:12.464913
32.187C	     2018-07-31 22:16:23.344945
32.187C	     2018-07-31 22:16:34.224890
32.187C	     2018-07-31 22:16:45.104911
32.187C	     2018-07-31 22:16:55.984904
32.187C	     2018-07-31 22:17:06.864905
32.187C	     2018-07-31 22:17:17.744917
32.187C	     2018-07-31 22:17:28.624888
32.187C	     2018-07-31 22:17:39.504906
32.187C	     2018-07-31 22:17:50.384900
32.187C	     2018-07-31 22:18:01.264950
32.187C	     2018-07-31 22:18:12.144943
32.187C	     2018-07-31 22:18:23.024896
32.187C	     2018-07-31 22:18:33.904909
32.187C	     2018-07-31 22:18:44.784893
32.187C	     2018-07-31 22:18:55.664887
32.187C	     2018-07-31 22:19:06.544968
32.187C	     2018-07-31 22:19:17.424903
32.187C	     2018-07-31 22:19:28.304900
32.187C	     2018-07-31 22:19:39.184917
32.187C	     2018-07-31 22:19:50.064889
32.125C	     2018-07-31 22:20:00.944868
32.125C	     2018-07-31 22:20:11.824888
32.125C	     2018-07-31 22:20:22.704963
32.125C	     2018-07-31 22:20:33.584897
32.125C	     2018-07-31 22:20:44.464949
32.125C	     2018-07-31 22:20:55.344953
32.125C	     2018-07-31 22:21:06.224888
32.125C	     2018-07-31 22:21:17.104884
32.125C	     2018-07-31 22:21:27.984867
32.125C	     2018-07-31 22:21:38.864911
32.187C	     2018-07-31 22:21:49.744893
32.187C	     2018-07-31 22:22:00.624899
32.187C	     2018-07-31 22:22:11.504899
32.187C	     2018-07-31 22:22:22.384888
32.125C	     2018-07-31 22:22:33.264925
32.125C	     2018-07-31 22:22:44.144928
32.187C	     2018-07-31 22:22:55.024889
32.125C	     2018-07-31 22:23:05.904959
